To Date,Ozone,CO,SO2,NO2,PM10,PM2.5,State,City,Station,AQI,AQI Category
30-12-2021 00:00,15.96,0.68,5.74,21.9,88.1,49.59,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",88.0,Moderate
31-12-2021 00:00,13.8,0.6,5.07,24.67,100.99,56.38,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",94.0,Moderate
01-01-2022 00:00,15.88,0.6,5.85,19.73,99.62,61.18,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",102.0,Moderate
02-01-2022 00:00,16.0,0.6,6.36,17.12,97.06,65.96,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",118.0,Moderate
03-01-2022 00:00,16.06,0.71,5.66,19.22,111.81,69.49,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",130.0,Moderate
04-01-2022 00:00,15.39,0.66,6.64,22.01,119.31,64.05,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",113.0,Moderate
05-01-2022 00:00,17.73,0.6,6.82,20.28,124.74,68.93,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",128.0,Moderate
06-01-2022 00:00,19.73,0.51,6.73,20.02,128.44,76.48,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",154.0,Moderate
07-01-2022 00:00,16.99,0.66,5.96,20.08,102.64,58.51,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",102.0,Moderate
08-01-2022 00:00,15.29,0.49,5.81,13.16,76.76,40.9,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",77.0,Moderate
09-01-2022 00:00,13.13,0.44,4.85,9.14,61.83,30.39,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",62.0,Moderate
10-01-2022 00:00,11.84,0.41,5.9,11.29,66.67,32.8,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",67.0,Moderate
11-01-2022 00:00,11.54,0.41,4.69,10.34,75.98,37.24,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",76.0,Moderate
12-01-2022 00:00,11.51,0.33,15.21,9.06,74.18,35.0,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",74.0,Moderate
13-01-2022 00:00,8.71,0.57,6.24,9.84,59.53,38.66,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",64.0,Moderate
14-01-2022 00:00,10.43,0.4,5.28,5.74,47.72,29.95,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",50.0,Good
15-01-2022 00:00,11.15,0.42,10.16,8.47,76.8,38.4,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",77.0,Moderate
